name,source,gender,wikidata,type
אושה,csv,M,,way
"אז""ר",csv,M,,way
אחימעץ,csv,M,,way
אחיעזר,csv,M,,way
אחרון,csv,M,,way
אידלסון,csv,M,,way
אייבשיץ,csv,M,,way
אייגר,csv,M,,way
"אייזיק רמבה",csv,M,,way
"אייזק חריף",csv,M,,way
אימבר,csv,M,,way
אינשטיין,csv,M,,way
איסקוב,csv,M,,way
איתיאל,csv,M,,way
"איתמר בן אב""י",csv,M,,way
"איתן לבני",csv,M,,way
"אלבז נתן",csv,M,,way
"אלדד הדני",csv,M,,way
אלוף,csv,M,,way
"אלוף אלברט מנדלר",csv,M,,way
"אלוף קלמן מגן",csv,M,,way
אלחריזי,csv,M,,way
"אלי כהן",csv,M,,way
אליאשברג,csv,M,,way
"אליהו (קשאק) עמיקם",csv,M,,way
"אליהו בחור",csv,M,,way
"אליהו בית צורי",csv,M,,way
"אליהו ברלין",csv,M,,way
"אליהו גלעזר",csv,M,,way
"אליהו חכים",csv,M,,way
"אליהו מפרארה",csv,M,,way
"אליהו ספיר",csv,M,,way
"אליעז רפאל",csv,M,,way
"אליעזר בן הורקנוס",csv,M,,way
"אליעזר לבונה",csv,M,,way
"אליעזר קשאני",csv,M,,way
"אליעזר שטיינמן",csv,M,,way
אליפלט,csv,M,,way
אליקום,csv,M,,way
אלישיב,csv,M,,way
"אלכסנדר אוריה בוסקוביץ'",csv,M,,way
"אלכסנדר ארגוב",csv,M,,way
"אלכסנדר זייד",csv,M,,way
"אלכסנדר ינאי",csv,M,,way
"אלכסנדר פן",csv,M,,way
אלנבי,csv,M,,relation+way
"אלעזר בן יוסי",csv,M,,way
"אלעזר בן עזריה",csv,M,,way
"אלעזר החורני",csv,M,,way
"אלעזר רוקח",csv,M,,way
אלפסי,csv,M,,way
אלקלעי,csv,M,,way
אלרואי,csv,M,,way
אלשיך,csv,M,,way
אלתרמן,csv,M,,way
אמזלג,csv,M,,way
"אמיל זולא",csv,M,,relation+way
"אמיר גלבוע",csv,M,,way
אנגל,csv,M,,way
אנדריוס,csv,M,,way
אנדרסן,csv,M,,way
אנוכי,csv,M,,way
אנטוקולסקי,csv,M,,way
אנטיגונוס,csv,M,,way
אנסקי,csv,M,,way
"אסא קדמוני",csv,M,,way
"אסף הרופא",csv,M,,way
אפטר,csv,M,,way
אפלטון,csv,M,,way
אפשטיין,csv,M,,way
"אפשטיין יעקב",csv,M,,way
"אקסלרוד נתן",csv,M,,way
"ארדון מרדכי",csv,M,,way
ארזי,csv,M,,way
"ארטר יצחק",csv,M,,way
אריאל,csv,M,,way
"אריאל שרון",csv,M,,way
"אריה אלטמן",csv,M,,way
"אריה גלבלום",csv,M,,way
"אריה דה מודינה",csv,M,,way
"אריה דולצ'ין",csv,M,,way
"אריה דיסנצ'יק",csv,M,,way
"אריה לובה אליאב",csv,M,,way
"אריה סוסליק",csv,M,,way
"אריה עקיבא",csv,M,,way
"אריה פסטרנק",csv,M,,way
"אריה שרון",csv,M,,way
אריסטו,csv,M,,way
אריסטובולוס,csv,M,,way
ארלוזורוב,csv,M,,way
ארלינג'ר,csv,M,,way
"ארתור רובינשטיין",csv,M,,way
"אשר ברש",csv,M,,way
"אשתורי הפרחי",csv,M,,way
באכר,csv,M,,way
באסולה,csv,M,,way
"באר יעקב",csv,M,,way
בארט,csv,M,,way
בארי,csv,M,,way
בובליק,csv,M,,way
בוסל,csv,M,,way
בוסתנאי,csv,M,,way
בועז,csv,M,,way
"בוקי בן יגלי",csv,M,,way
בורוכוב,csv,M,,way
ביילינסון,csv,M,,way
ביירון,csv,M,,relation
בירנבוים,csv,M,,way
"בית הלל",csv,M,,way
