name,source,gender,wikidata,type
"הרב לוי יצחק",,,,way
"הרב מבכרך",,,,way
"הרב מויטבסק",,,,way
"הרב מלילוב",,,,way
"הרב מקוטוב",,,,way
"הרב מקוצק",,,,way
"הרב מקרלין",,,,way
"הרב מרק",,,,way
"הרב ניסים",,,,way
"הרב עובדיה בידאני",,,,way
"הרב עוזיאל",,,,way
"הרב עמיאל",,,,way
"הרב פרידמן",,,,way
"הרב צירלסון",,,,way
"הרב קוק",,,,way
"הרב שלמה גורן",,,,way
"הרבי מבכרך",,,,way
"הרבי מפשיסחא",,,,way
"הרבסט קרול",,,,way
"הרברט סמואל",,,,relation+way
הרדוף,,,,way
"הרה""ג יחיא מחבוב",,,,way
"הרוגי מלכות",,,,way
הרודיון,,,,way
הרותם,,,,way
הרטגלס,,,,way
הרטוב,,,,way
הרימון,,,,way
הרכב,,,,way
הרכבי,,,,way
הרכבת,,,,way
הרכש,,,,way
"הרמן כהן",,,,way
הרן,,,,way
"הרנ""ה",,,,way
הרצל,,,,way
"הרצל רוזנבלום",,,,way
הרצפלד,,,,way
הרקפת,,,,way
הררי,,,,way
"הש""ך",,,,way
השומר,,,,way
השומרון,,,,way
"השופט חיים כהן",,,,way
"השופט נופך",,,,way
השופטים,,,,way
השופר,,,,way
השוק,,,,way
השחף,,,,way
השחקנים,,,,way
השחר,,,,way
השיבולת,,,,way
השיטה,,,,way
השיירות,,,,way
השילוח,,,,way
השכל,,,,way
"השל""ה",,,,way
השלום,,,,way
השלושה,,,,way
השלכת,,,,way
השנית,,,,way
השעורה,,,,way
השפלה,,,,way
השקמה,,,,way
השרביט,,,,way
השרון,,,,way
התאנה,,,,way
התבור,,,,way
התורן,,,,way
התחיה,,,,way
התיבונים,,,,way
התמר,,,,way
התנאים,,,,way
התנופה,,,,way
התניא,,,,way
התערוכה,,,,way
התעשיה,,,,way
התקוה,,,,way
התקומה,,,,way
"התשעים ושלוש",,,,way
ווג'ווד,,,,way
וולמן,,,,way
וולפסון,,,,way
וורמייזה,,,,way
ויזל,,,,way
"ויטל חיים",,,,way
ויינשל,,,,way
"וייס איזיק הירש",,,,way
וייסבורג,,,,way
"וילהלם פילדרמן",,,,way
וילון,,,,way
"וילי ברנדט",,,,way
וילנה,,,,way
וילסון,,,,way
וינגייט,,,,way
ויסוצקי,,,,way
ויצמן,,,,way
"ויקטור הוגו",,,,way
"ויקי שירן",,,,way
ויתקין,,,,way
וכטנגוב,,,,way
ולנסיה,,,,way
"ועידת קטוביץ'",,,,way
"וקנין רפי",,,,way
ורבורג,,,,way
ורד,,,,way
ורדיאל,,,,way
ורשבסקי,,,,way
ורשקובסקי,,,,way
ותיק,,,,way
"ז'אן ז'ורס",,,,relation
ז'בוטינסקי,,,,way
זאב,,,,way
"זאב ויינר",,,,way
"זאב רכטר",,,,way
זבד,,,,way
זבולון,,,,way
"זהבי דוד",,,,way
"זהרה לביטוב",,,,way
"זהרירה חריפאי",,,,way
זולצר,,,,way
זטורי,,,,way
זיגלבוים,,,,way
זימן,,,,way
זיקים,,,,way
"זכרון יעקב",,,,way
"זכרון קדושים",,,,way
זכריה,,,,way
"זכריה פראנקל",,,,way
"זכריה רצאבי",,,,way
זכריני,,,,way
"זלדה (שניאורסון מישקובסקי)",,,,way
זלוציסטי,,,,way
זלטופולסקי,,,,way
זליג,,,,way
"זלמן מייזל",,,,way
זמנהוף,,,,way
זנגביל,,,,way
זרובבל,,,,way
זרח,,,,way
זריצקי,,,,way
זרעים,,,,way
"חביבה רייך",,,,way
"חביבי אמיל",,,,way
"חבקוק הנביא",,,,way
"חבר הלאומים",,,,way
"חברה חדשה",,,,way
חברון,,,,way
"חברת ש""ס",,,,way
"חגי הנביא",,,,way
חדרה,,,,way
"חובבי ציון",,,,way
"חובות הלבבות",,,,way
חולדה,,,,way
"חומה ומגדל",,,,way
"חוני המעגל",,,,way
חזונוביץ,,,,way
חזק,,,,way
"חזקיהו המלך",,,,way
"חטיבת קרייתי",,,,way
"חידושי הרי""ם",,,,way
חיוג,,,,way
"חיי אדם",,,,way
"חייבי משה",,,,way
"חייל המשמר",,,,way
"חיים אלפרין",,,,way
"חיים בן עטר",,,,way
"חיים ברלב",,,,way
"חיים הזז",,,,way
"חיים ואלישע",,,,way
"חיים חבשוש",,,,way
"חיים סירני",,,,way
"חיים שורר",,,,way
"חייקה גרוסמן",,,,way
"חיל השריון",,,,way
חיננית,,,,way
חיסין,,,,way
חירותנו,,,,way
חיש,,,,way
"חכמי אתונה",,,,way
"חכמי ישראל",,,,way
"חכמי לובלין",,,,way
"חכמי קירואן",,,,way
חלמית,,,,way
"חנאניא יעקוב ג'ורג'",,,,way
"חנה אורלוף",,,,way
"חנה ומרדכי וייסר",,,,way
"חנה זמר",,,,way
"חנה מרון",,,,way
"חנה סנש",,,,way
"חנה רובינא",,,,way
חנוך,,,,way
"חנינא בן תרדיון",,,,way
חניתה,,,,way
חנקין,,,,way
"חסידי האומות",,,,way
"חפץ חיים",,,,way
חפר,,,,way
חצור,,,,way
חצרים,,,,way
"חריף אייזיק",,,,way
חשון,,,,way
"חת""ם סופר",,,,way
"ט""ז",,,,way
ט',,,,way
"טאג'יר שמואל וסולטנה",,,,way
טאגור,,,,way
טביוב,,,,way
טבריה,,,,way
טברסקי,,,,way
טבת,,,,way
טהון,,,,way
"טובה סנהדראי",,,,way
"טוביה הרופא",,,,way
טולדאנו,,,,way
טולוז,,,,way
טולקובסקי,,,,way
"טוני הלה",,,,way
"טור מלכא",,,,way
טורטשינר,,,,way
"טורי זהב",,,,way
טורקוב,,,,way
טיומקין,,,,way
"טייב יצחק",,,,way
"טיילת איילון",,,,way
"טיילת המדע",,,,way
"טיילת השער ליפו",,,,way
"טיילת מפרץ שלמה",,,,way
"טימן יעקב",,,,way
"טירת צבי",,,,way
טלמון,,,,way
טרומפלדור,,,,way
טרפון,,,,way
טשרניחובסקי,,,,way
"י""א",,,,way
"י""ב",,,,way
"י""ג",,,,way
"י. ל. גורדון",,,,way
"י.ל. פרץ",,,,way
יאיר,,,,way
"יאיר רוזנבלום",,,,way
יבנאל,,,,way
יבנה,,,,way
יגאל,,,,way
"יגאל מוסינזון",,,,way
יגור,,,,way
"יגיע כפיים",,,,way
"יד המעביר",,,,way
"יד חרוצים",,,,way
"ידעיה הפניני",,,,way
יהואש,,,,relation
"יהודה בורלא",,,,way
"יהודה גור",,,,way
"יהודה הימית",,,,way
"יהודה הלוי",,,,way
"יהודה המכבי",,,,way
"יהודה הנשיא",,,,way
"יהודה הצעיר",,,,way
"יהודה לייב הלוי ברסקי",,,,way
"יהודה מרגוזה",,,,way
"יהודה סומו",,,,way
"יהודה קרני",,,,way
"יהויכין סטוצ'בסקי",,,,way
יהונתן,,,,way
יהורם,,,,way
"יהושע בן נון",,,,way
"יהושע התלמי",,,,way
"יהושע רוזין",,,,way
יהל״ל,,,,way
יואב,,,,way
יואל,,,,way
יודפת,,,,way
"יוחנן הגדי",,,,way
"יוחנן הורקנוס",,,,way
"יוחנן הסנדלר",,,,way
יוטבת,,,,way
"יוכבד בת מרים",,,,way
"יום טוב",,,,way
יונדב,,,,way
"יונה הנביא",,,,way
יוניצמן,,,,way
"יונתן הופסי",,,,way
"יונתן רטוש",,,,way
"יוסי בן יוסי",,,,way
"יוסי בנאי",,,,way
"יוסי ידין",,,,way
"יוסף אליהו",,,,way
"יוסף אריכא",,,,way
"יוסף אשרמן",,,,way
